raster,path,same_grid_as_population,width,height,pixel_width,pixel_height,left,top,crs
population_2021,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/1_preprocess/UrbanCoolingModel/OfficialWorkingInputs/pop_raster/resampled_10m/gbr_pop_2021_10m_count_preserved_bng.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
baseline_new_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/baseline_health_invest3202/T_air_london_baseline_25deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
baseline_new_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/baseline_health_invest3202/T_air_london_baseline_28deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_new_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/green30_health_invest3202/T_air_london_green30_25deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_new_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/green30_health_invest3202/T_air_london_green30_28deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_harmonized_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/green30_health_invest3202_nodata_harmonized/T_air_london_green30_25deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_harmonized_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/green30_health_invest3202_nodata_harmonized/T_air_london_green30_28deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
target30_new_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario730v4_equal_budget_health_invest3202/T_air_london_scenario730v4_equal_budget_25deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
target30_new_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario730v4_equal_budget_health_invest3202/T_air_london_scenario730v4_equal_budget_28deg_5uhi_45hum.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
baseline_old_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario0/work_and_energy_runs/intermediate/T_air_london_scenario_25.0deg_5.0uhi_45.0hum_energy_productivity.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
baseline_old_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario0/work_and_energy_runs/intermediate/T_air_london_scenario_28deg_5uhi_45hum_energy_productivity.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_old_25,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario43/work_and_energy_runs/tcc_30prc/intermediate/T_air_london_scenario4_30prc_25.0deg_5.0uhi_45.0hum_energy_productivity.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
green30_old_28,/Users/yingjiel/Library/CloudStorage/GoogleDrive-yingjiel@stanford.edu/Shared drives/Wellcome Trust Project Data/2_postprocess_intermediate/UCM_official_runs/scenario43/work_and_energy_runs/tcc_30prc/intermediate/T_air_london_scenario4_30prc_28deg_5uhi_45hum_energy_productivity.tif,True,5840,4509,10.0,-10.0,503560.0,200940.0,EPSG:27700
