comparison,left,right,difference_definition,valid_pixels,mean_difference_c,mean_absolute_difference_c,max_absolute_difference_c,population_weighted_mean_difference_c,population_sum
baseline_version_change_25,baseline_old_25,baseline_new_25,right minus left,14258650,4.851400869205204e-08,4.851675429995698e-08,5.7220458984375e-06,4.680702009449255e-08,8834023.32271444
baseline_version_change_28,baseline_old_28,baseline_new_28,right minus left,14258650,4.8420825363919435e-08,4.842481681255601e-08,5.880116550116554e-06,4.667149140459682e-08,8834023.32271444
green30_version_change_25,green30_old_25,green30_new_25,right minus left,14258588,5.997395584033891e-08,5.997683226061927e-08,6.335140199098532e-06,5.6573284697478306e-08,8834005.125748172
green30_version_change_28,green30_old_28,green30_new_28,right minus left,14258588,5.970968729316588e-08,5.97114327568692e-08,7.017138372589216e-06,5.650087116908484e-08,8834005.125748172
green30_nodata_harmonization_25,green30_new_25,green30_harmonized_25,right minus left,14258588,0.06162959247051915,0.06162959685372478,1.9952748380158347,0.01892297161088892,8834005.125748172
green30_nodata_harmonization_28,green30_new_28,green30_harmonized_28,right minus left,14258588,0.06162959888922734,0.061629604650690624,1.9952860170461584,0.01892297561110241,8834005.125748172
green30_cooling_new_25,green30_new_25,baseline_new_25,right minus left,14258588,0.3594095829942847,0.3594095829942847,2.1020787320588035,0.3538457189070311,8834005.125748172
green30_cooling_new_28,green30_new_28,baseline_new_28,right minus left,14258588,0.3594096040551192,0.3594096040551192,2.1020860963918615,0.3538457385219364,8834005.125748172
green30_cooling_harmonized_25,green30_harmonized_25,baseline_new_25,right minus left,14258650,0.2977799377180183,0.2977799377180183,0.7568378448486328,0.3349226681713695,8834023.32271444
green30_cooling_harmonized_28,green30_harmonized_28,baseline_new_28,right minus left,14258650,0.2977799523567371,0.2977799523567371,0.7568378448486328,0.33492268378076706,8834023.32271444
target30_cooling_new_25,target30_new_25,baseline_new_25,right minus left,14258650,0.35308951149270507,0.35308951149270507,1.0797863006591797,0.4710276338173114,8834023.32271444
target30_cooling_new_28,target30_new_28,baseline_new_28,right minus left,14258650,0.35308953188223613,0.35308953188223613,1.0797843933105469,0.4710276594193395,8834023.32271444
green30_cooling_old_25,green30_old_25,baseline_old_25,right minus left,14258588,0.35940959445428844,0.35940959445428844,2.1020815947391576,0.3538457286732007,8834005.125748172
green30_cooling_old_28,green30_old_28,baseline_old_28,right minus left,14258588,0.3594096153441721,0.3594096153441721,2.1020860963918615,0.35384574835149607,8834005.125748172
