draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
1,-383.14533167014343,-29.68978552342205,-131.55689065621252,-50.33751066570832,-1.6138992683505613
2,-341.8690102336856,-33.143610551321636,-151.9978242689722,-62.211617106969314,-0.9387367093065832
3,-408.47089714476493,-15.217089122167017,-136.62475400261653,-49.65171925434888,-1.5598711317427354
4,-371.5454507016208,-24.089688179638504,-140.9892227864659,-51.99376018626203,-1.7646732486084045
5,-257.5460084894625,-34.311470595661085,-143.32604762161048,-58.382082470197915,-1.076072790687734
6,-349.38200228334864,-18.3473875282141,-142.26581234292738,-54.34602230573101,-0.935590900683394
7,-403.3630016456673,-26.89451121448399,-138.4220330869326,-53.625549262014815,-0.650213752661961
8,-389.78744977350203,-21.085815546691503,-150.7841265507363,-56.595104087797715,-2.5430073049791084
9,-337.90383455056804,-30.733139253051252,-144.35371831465287,-52.29171849951683,-0.8742949141489336
10,-369.89211475594004,-15.984469403604253,-131.2620542869568,-50.80520705937278,-2.278807119736927
11,-360.36840472611345,-29.99562611299517,-131.70913995708975,-56.01593626029141,-2.027191184777955
12,-387.9882355670402,-28.128859003960937,-146.74998846112345,-51.238118377183554,-0.7882891442838935
13,-341.81780104064967,-39.135350413635635,-149.70619489398766,-51.58830314057669,-1.0529804297913719
14,-367.0446575902515,-29.652619052995632,-150.6004905033535,-54.680190204938086,-1.8607459682178806
15,-437.7584099479428,-33.63045141387354,-141.00828513808094,-54.41691572033259,-1.3881830494976237
16,-328.1926831301906,-27.731223991695572,-147.4005084853329,-52.16762111402494,-1.6089044246378639
17,-412.1363738387598,-25.19275897898724,-125.61805906116865,-56.22768586815668,-1.8946878659323922
18,-413.19778941792623,-33.53438838651565,-144.167501801633,-50.97276826271796,-1.315073394374274
19,-391.24331856111104,-43.0437002184627,-133.2040102364917,-51.340787625513315,-1.6904079960491776
20,-240.5822683173648,-17.85751663262816,-155.19986896197315,-55.73798813333434,-2.2440604677420777
21,-334.2123298343738,-39.70404741287695,-140.04561172844785,-55.53366133484361,-1.2872985765035905
22,-408.5971012902592,-37.64678951354626,-146.80598869134187,-51.55609839578622,-2.438737639202502
23,-419.0619038048958,-16.338569290762873,-146.52611930965205,-58.37945578192753,-1.92600993729136
24,-313.5664792742708,-30.112939721194707,-166.49116581956773,-59.44736571873221,-2.025187488734491
25,-227.6864987450757,-20.772456666028116,-130.51413152118022,-58.559464530588116,-1.0021886770715431
