draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
1,-404.17509891044585,-31.217656922038987,-138.81589471896157,-53.037213791314045,-1.706354046242663
2,-360.61975998822254,-34.85095967271533,-160.39761653659187,-65.55644380563533,-0.9924313660236924
3,-430.9005908209684,-15.996828430641832,-144.16626749072398,-52.31425964132566,-1.6492198731157584
4,-391.9344174749028,-25.327320727550873,-148.77420547500768,-54.783258229223875,-1.865799916738408
5,-271.65108182383494,-36.079589365127696,-151.24145356476197,-61.51850441883073,-1.1376421220446051
6,-368.54732996111494,-19.28840065515439,-150.12203864834257,-57.26315581835914,-0.9891052381915146
7,-425.51024666089666,-28.277391571286888,-146.06378755104038,-56.50357620542241,-0.687380839835068
8,-411.18425637827113,-22.168157575634538,-159.1160868255584,-59.634390371793714,-2.688994340973349
9,-356.43582351910015,-32.31519027087492,-152.32649511758373,-55.097377120647025,-0.9242962505574249
10,-390.1897688680885,-16.80371677502838,-138.5046291727135,-53.530260496062525,-2.4095489883644396
11,-380.14017211394906,-31.539375879661314,-138.9766280950873,-59.02375578201391,-2.1434308714171535
12,-409.28561039012754,-29.575735799697114,-154.85657371953872,-53.98664105678698,-0.833362956572653
13,-360.56572536637276,-41.154918358831715,-157.97792120186438,-54.35581331581919,-1.1132253320538439
14,-387.1850607335391,-31.178561068357233,-158.92218866077937,-57.615465971392304,-1.967401416624793
15,-461.80856059481306,-35.36312829075196,-148.7943315545894,-57.33789788643681,-1.4676666051698486
16,-346.1890295991026,-29.157479807859094,-155.5434271951747,-54.96654873471122,-1.701072020963625
17,-434.76878615272824,-26.487485555195846,-132.54627243225377,-59.24700908455596,-2.003297170965307
18,-435.88890794502805,-35.26206704256708,-152.1298822110317,-53.70690512757903,-1.390358398227242
19,-412.72058682448835,-45.26751188286294,-140.55481006471803,-54.09487688704103,-1.7872624991379242
20,-253.75438472786638,-18.77327180939773,-163.77867794773053,-58.73070912628213,-2.372798694407474
21,-352.5406835546471,-41.753305711645766,-147.7779422728564,-58.515284115795396,-1.3609888880184073
22,-431.03377424184714,-39.588689565901824,-154.9157015888831,-54.32186227106421,-2.578705830455504
23,-442.0774014511589,-17.176053299111658,-154.62020163062857,-61.51573489788112,-2.0364225546124803
24,-330.7564210957847,-31.662780828147838,-175.70191532344262,-62.64172782130559,-2.141311755914637
25,-240.14975266066574,-21.83861484862448,-137.7150331158379,-61.70553242558244,-1.0595209790744837
26,-371.23025659200425,-26.395805742028752,-156.18573136094525,-59.31224290967416,-0.9417203592398233
27,-401.9143546599712,-29.715877463855556,-153.72220515435728,-58.0307477296703,-1.8612335771700088
28,-382.8446325144653,-45.936802804802966,-132.67331865988083,-60.150793327673505,-1.4275699547984284
29,-361.631045709499,-29.024244127013763,-155.4853485079162,-52.99096879589384,-2.3749719981398014
30,-407.8623027152609,-36.508163323786896,-148.00302912125488,-60.03758917567902,-1.9471763347117348
31,-417.0225671180003,-28.134925926473947,-139.75876077587594,-53.33621023426287,-0.5502780437400216
32,-298.97122650490496,-23.27033840145555,-140.89651144370362,-58.51342046962636,-1.464179804401629
33,-407.47658059324107,-24.553671588816268,-153.84804980186507,-56.613229628923776,-2.6886315011124964
34,-241.58557290368387,-28.410613692415293,-158.16202083326723,-57.97873932322227,-1.0699772266826166
35,-512.6019062509038,-24.352433315009883,-142.53868448739982,-55.7221961748038,-1.6677980330858766
36,-439.5631454396107,-30.537321481394237,-156.50290503740118,-54.03219826879956,-2.195404578423994
37,-442.92057820979835,-48.056420953733046,-166.21856646287148,-56.00979328745625,-0.9676944044965057
38,-423.61431759629784,-51.55743197759202,-166.83306785666053,-62.40897580055298,-0.32399964599413783
39,-361.63021803595774,-14.235464125786295,-156.80368605553218,-60.11458586208581,-0.9346727527638856
40,-400.83111498225094,-18.779335605541956,-139.83571783317706,-53.00628486198495,-1.5341068030338672
41,-375.77658959338623,-27.623034071580495,-137.30259807805234,-52.74861925956109,-1.2303245717282685
42,-425.1141286896395,-35.56184294874578,-146.23949528423333,-56.41707493265512,-2.5130944984852994
43,-377.55490191570993,-25.46862404860585,-141.9777084482741,-55.39545933234389,-0.9564534989624649
44,-440.5671705051141,-31.180989370131712,-145.42650109133086,-55.534196993440766,-2.287516109330878
45,-370.81676841236,-38.003553523511535,-152.1011353490778,-55.85526215205281,-2.5598065836069894
46,-365.25474435459586,-34.339858157285576,-151.4113602693301,-61.94297584204782,-2.148988155599135
47,-384.6879843109743,-28.009561481685672,-153.0033080146684,-60.0006164148849,-1.7653534471372754
48,-369.3912328805979,-33.73950299047354,-152.97012425453508,-59.31250506070432,-2.9684937916343177
49,-319.0302202666132,-24.768994259414285,-138.75998479959654,-59.4370912387953,-0.7847486540320456
50,-354.4305201650533,-30.31169551808131,-157.55549022608812,-65.44001045127358,-1.3703047161147657
51,-346.96208865339844,-29.965213544963476,-146.05887731129638,-58.929173175285,-2.0790855044435657
52,-286.9809124816029,-23.843769280408402,-147.34114932175547,-60.683054850655395,-2.5186727501903072
53,-387.62099291591153,-30.846748829571126,-149.61278328701417,-54.42036615419916,-3.948309776326582
54,-395.0403057332117,-31.422349687029392,-156.44422337752323,-56.46694037515695,-2.748514005770805
55,-310.8763805171967,-35.02191553304308,-152.1189677431633,-60.2204843478112,-0.2913259213261455
56,-429.99678680244324,-29.273648164963298,-143.66441935185858,-55.98616118008752,-0.8201135071212353
57,-381.85916419291806,-16.174511881720832,-141.8854925210694,-56.62647444581673,-1.2314201716529956
58,-488.7289417765863,-8.249553879397025,-150.75672105849588,-53.4887366045707,-2.7851439636705604
59,-358.405494859159,-41.06304208818425,-166.837213859765,-55.43957696352694,-1.1995233672177854
60,-357.43587210576817,-25.321504705898267,-135.54970271293183,-65.20411759197783,-2.34335323711715
61,-317.95017183253634,-31.266360227026222,-143.79170946104216,-64.21769455603766,-1.9713488949334586
62,-491.55627475220064,-28.7663613425125,-148.81572332492672,-55.823689392801974,-3.0238564297020596
63,-442.2519923662302,-30.1890450465738,-146.49595663115863,-62.42184898213723,-2.283684321993216
64,-283.0518284960645,-29.11701669774711,-147.7361090997715,-53.75705769161367,-1.7056359027667645
65,-392.38723952390137,-36.65679127279539,-161.09309399858867,-58.42097071998362,-2.9854553664813532
66,-339.7060727481868,-14.315840750923945,-154.86049648414394,-61.56387173479745,-2.2878055877167762
67,-364.16067486511076,-30.58842749547829,-161.70617424421502,-55.13261731949174,-3.1822218207094846
68,-372.73933169338414,-28.822500496997446,-156.99950536786403,-62.053164615998604,-2.1924636614662067
69,-342.34742451745046,-17.635858885151272,-148.57632722898873,-59.64117160214927,-1.8496944386493983
70,-312.389723293577,-28.529602814748916,-145.7728898280298,-59.402382343734985,-2.1351304737936907
71,-365.69256237362146,-34.64388596297117,-142.29807869685328,-61.96750881568755,-2.303273719364725
72,-461.76226401819764,-18.672174533308787,-152.16418496233624,-57.8861639412365,-1.8246612703012446
73,-475.6550525521652,-23.097624092890328,-149.07561566008079,-56.95524690364048,-3.427103272638203
74,-386.1238419579478,-35.1525584154432,-143.64794160464024,-57.89390659498196,-2.1255492879800517
75,-449.8637196314342,-29.025758263199126,-159.47007114215634,-62.47865574287833,-3.2277881292140216
76,-407.9073099092564,-29.247457879104473,-153.40208960568773,-55.83029776653044,-1.5972336021406959
77,-385.2447804481455,-21.19850952082036,-151.9544812072779,-56.828827643011856,-2.5199029388170198
78,-255.14946445089134,-34.90230820173691,-150.72937602758486,-57.96074673768789,-1.2264320229018975
79,-373.35675392006993,-32.66075724700648,-156.9361441475387,-56.384348384351796,-0.10253990419046492
80,-315.91735132772857,-33.11923913065621,-155.56853492112498,-52.697480473896505,-2.0135069632107467
81,-423.1528568719949,-21.44704132785767,-147.6239671685685,-51.7867023159883,-1.680360463923336
82,-333.35788370715954,-30.176481325711176,-155.82018660833367,-52.75034189649382,-1.7295492655558808
83,-440.52705151028357,-51.29392330712141,-152.07963071012554,-57.250192600491836,-2.4198647454208846
84,-402.9384205355435,-15.86808211207322,-133.85096269702493,-60.54890355486794,-3.180234574252644
85,-429.9984158046855,-38.55306194463074,-150.67894690410586,-57.943732238562674,-2.5062876128802754
86,-436.7289649705937,-19.07736011963729,-154.10069754190917,-57.21805670344151,-0.7173338024511814
87,-465.0813005413657,-25.03692818481825,-149.88590695795335,-52.49749982047029,-1.4157382905047264
88,-430.4044207522985,-21.901064015446508,-149.4645240830287,-57.717318471973904,-4.078201859492403
89,-377.95329715394007,-22.851868447793905,-150.99920823060492,-58.53828137475538,-1.292027601473391
90,-468.1939740664701,-15.049432423054967,-171.9648216039397,-57.71374605632676,-2.4277244318682274
91,-470.5707977622685,-35.196247245697435,-162.56396756500155,-57.127095406737936,-2.1209917471025164
92,-254.3338022628669,-46.43410610242062,-153.57009364945225,-54.46367614453019,-1.5698709312152839
93,-336.91381750199554,-41.10815684942811,-150.00675343913363,-57.69117237249826,-2.236058119753155
94,-303.66021691026725,-20.166255738639546,-154.54581131144647,-57.58418470070044,-1.5381202027172887
95,-338.1618748239879,-39.859656971267675,-161.6342993305654,-58.815402218690785,-2.2582878429418147
96,-346.99149318942824,-21.02260793390919,-159.13430570212978,-59.23808297224236,-1.8713508368711738
97,-411.2568520984992,-40.26429944064465,-155.1636617232988,-60.22231324062307,-1.6396355368670525
98,-281.06027626223886,-19.077270199240886,-154.42254887986843,-56.60958996587923,-2.154417076741442
99,-429.3395783593196,-18.335251893907046,-152.62818130744293,-52.057898914872546,-0.8186066614024623
100,-403.453315346928,-43.37666786352653,-154.95911869827742,-58.961102870494344,-1.5945664070577579
101,-336.89324855193576,-32.90688723644934,-136.85009373966787,-56.87917061865112,-2.4580574146943754
102,-318.36816014841946,-37.623897710305464,-156.49494816714306,-54.62312344033961,-2.3095106792834557
103,-434.07750068893733,-28.260071693636835,-160.71432520633363,-55.9606492124866,-2.3105842514857167
104,-403.6705018154029,-21.016152735481175,-153.770440636578,-57.340996215222496,-2.0108844627643028
105,-435.02266415636115,-41.274895021925815,-151.42966009003663,-59.1109921390502,-2.2480354461759884
106,-341.049506283591,-12.670917346546005,-154.3187227191322,-61.07883070147815,-1.287484960610357
107,-323.1852557857553,-30.214045306152148,-137.8938120176872,-54.00385509116178,-2.021011195837324
108,-363.33219669164436,-29.1250281025561,-161.2506192771031,-53.56905727419378,-1.8734203692207247
109,-277.5096220193624,-33.17308166672162,-156.2599493332697,-55.26835851759874,-1.6797273617058692
110,-305.8908954349119,-20.567623078426323,-153.8316789695583,-65.95732483263212,-2.0764755061177764
111,-359.8846616858844,-36.07112008640848,-155.63652406454733,-55.933874247925715,-1.0188861040968586
112,-400.4379978435001,-31.717273930801383,-150.16896661275936,-54.58717908821427,-1.6999076871915493
113,-355.56841887358235,-36.85726963155424,-153.3695826067655,-60.28637971430619,-2.4921506799035607
114,-285.4444027058954,-36.43069213247396,-163.803610629996,-58.70477705566031,-1.6902576895142047
115,-224.21330548086135,-41.62671684821393,-157.7963929074831,-58.67762812161985,-3.0684902725852274
116,-305.20160576486313,-46.49115892210404,-158.7115395274901,-56.61267007759067,-1.91778470466098
117,-383.2193003189507,-30.607544451747355,-146.02805026218329,-51.86000726038542,-1.4649298604438648
118,-432.73247733150976,-27.384416054966216,-149.3487723592647,-62.06654051377992,-2.8566766706953723
119,-348.4497179724648,-34.48904274053178,-158.784109255863,-58.4560290300274,-1.6285027128081626
120,-379.5837351190823,-23.28438622604231,-161.04771633835037,-53.67204345189705,-1.3550517153570178
121,-353.1042708304172,-36.50747657198348,-152.4078360567996,-57.0870892728089,-2.4844734342996544
122,-393.9206710893004,-27.25495758724063,-158.48267015739515,-55.31361833953888,-2.419594400087966
123,-291.678734112636,-12.699002433009271,-146.78216509781757,-58.411340076340984,-2.4838131481613748
124,-343.5109996873751,-23.569583720738198,-158.81789710143488,-59.38767405514242,-3.56998001316476
125,-436.9746386258965,-25.45591355655949,-156.55200256742913,-57.455548632809716,-1.374240392410169
126,-426.9885118347026,-27.318223186435063,-152.76573978295792,-61.53231282110021,-1.6105049131383833
127,-381.1357604115618,-33.38901772235288,-135.70123830382323,-54.572357670947895,-1.6514736995307409
128,-361.23440468165404,-24.438331780688884,-135.25052926966865,-49.94938706539087,-1.5103808285032296
129,-318.00323463308564,-36.606227856053,-148.7198732419056,-58.82046245038372,-2.162318564669246
130,-468.68277029327163,-25.045213836321132,-144.32345798071475,-56.37761127151217,-1.312036854929172
131,-303.30834647776453,-17.83117559135037,-158.67426517854898,-53.512805441110515,-1.5398567751198518
132,-470.7686090177035,-35.121790673036514,-145.64169632501884,-56.832680048103526,-1.4713267435238397
133,-347.20590929513287,-39.91221734371708,-151.98402345264049,-64.82663474746263,-2.498378853158512
134,-343.1638360352327,-13.402241291418617,-159.30719416961833,-53.85180840000213,-1.6864360754273386
135,-390.3387067631188,-40.94697412960561,-142.7787355341254,-56.37684978567304,-1.2214367402268893
136,-338.5914049928277,-32.89776317790764,-160.90483349673886,-61.68715889130434,-2.7629849859102995
137,-532.144997877113,-37.039880176344916,-144.19285315860765,-59.43302095893232,-1.7246993047938584
138,-380.14375184275804,-19.67071342608355,-157.33602483243396,-58.61549770982936,-1.821840400351901
139,-388.98079445936105,-34.99709226081811,-145.84204883109675,-57.15206287205562,-1.5315402031403405
140,-339.89254313607887,-25.310996364070927,-151.43506672759324,-54.899507734493,-2.5478757198908517
141,-385.68307501209557,-27.569876713788386,-152.52470219249562,-58.24218002242146,-2.325082179759958
142,-405.9521141510386,-27.864948950944438,-145.58984543958687,-58.85312866625209,-0.9814282517690927
143,-289.4205908351161,-37.913468371645685,-159.27359017709153,-63.272764446319,-0.8007115385609076
144,-418.0813385447456,-37.66291004107194,-154.97120204386778,-54.7259277455189,-0.45502642373546653
145,-370.65969599056723,-38.68063014322608,-158.91244810240426,-61.019918266974365,-1.748675948246698
146,-455.56806402160095,-22.97641513392312,-143.94701337950158,-59.79698922607021,-0.9761915316667537
147,-392.7671739444457,-28.7180749597823,-171.2349956234482,-60.06951867603197,-0.5143953692434042
148,-434.34463837902763,-24.12106464626119,-146.55106320022108,-52.70142978119888,-0.8768063194052956
149,-397.1087071790485,-34.00802294675055,-152.34359442588047,-54.734340629065606,-2.164252819580883
150,-394.71481932766477,-33.790454414822335,-130.90898036382777,-62.166965120404505,-2.795790075979535
151,-443.94293109086505,-22.3106115436307,-148.69819679786417,-59.968221806755984,-1.3183056328387026
152,-295.27887182911286,-17.505524906299502,-158.71515824876084,-59.76220258481751,-2.4783117357974693
153,-311.80225073423776,-29.872272084257368,-153.4973992568412,-54.44632819312539,-1.441721015411313
154,-434.7718753215951,-39.62157024743766,-153.6891030569724,-60.20079431230804,-1.4528317834755569
155,-412.38644255962686,-36.062932386345224,-152.55177174911276,-55.92928755905237,-2.81292228955095
156,-346.2243118574945,-23.018868422651767,-149.1063589383144,-56.3157880141378,-0.5463652714077498
157,-482.4584236966072,-32.58875558546804,-153.44521033166336,-59.263240367113845,-2.7847875007882723
158,-397.99040008124126,-22.257591156829204,-159.55458140598824,-58.661255600415785,-1.7237844626703904
159,-446.10100058577194,-21.919755064706433,-156.54063441901044,-50.02758705790657,-1.3411649921200655
160,-546.0520879161836,-23.7009087100955,-149.15650560733678,-58.39135742990446,-1.5186492823381317
161,-478.20266796619006,-30.109943085510853,-149.42773415654736,-58.0580011869119,-0.27913084176831743
162,-386.3435304885431,-15.83007669502937,-161.8037912835076,-61.73717075183041,-0.9315061842184283
163,-464.06591438643534,-46.54480093732404,-150.4740730168676,-58.9401487188523,-2.3877467363985962
164,-369.98345628440313,-22.553308182568106,-146.97555363079275,-61.74358703191736,-2.096994452364493
165,-394.60220979031317,-22.44603925800798,-148.29753728880013,-69.04267576522295,-1.46606238557737
166,-434.6820654780952,-37.20745970825069,-148.0321862594573,-58.721150914916244,-2.1255739688456803
167,-422.89131216874154,-27.845154342687504,-150.74787698436373,-55.257368194002176,-1.3177844023599101
168,-320.55766674881846,-30.26954231176677,-155.4772254483295,-54.602332306728094,-1.9914323501259121
169,-406.16523856956576,-37.75294583097534,-142.40624680823922,-60.51411461060687,-1.7509390825151918
170,-355.6161719967089,-26.03948236052943,-150.76548607708378,-55.5808687278054,-1.9121412789327898
171,-335.3634541552007,-39.131947785793926,-157.87003699090505,-57.04141603598808,-2.2914334514496244
172,-341.4374820812029,-29.97907277363667,-140.7459445961859,-54.418433753018796,-3.5458426132569576
173,-438.6111078043719,-32.250231328938895,-162.0428543711787,-57.564650213991776,-1.9777129639822675
174,-295.3839336742913,-18.201516863945017,-153.3072827256837,-66.04363919815222,-0.9400437427073197
175,-246.44126034898986,-26.448986291388564,-162.5926810983083,-57.065938021162296,-0.6506856183918298
176,-351.5464702603118,-25.14335453562836,-141.02975198295672,-57.892237254697534,-1.0159963648241703
177,-318.2086539277116,-21.573563143390338,-139.29063488734317,-59.68553531239744,-1.9371019301317793
178,-393.3272337708702,-30.14945066187753,-157.9939850855707,-55.35362467745013,-2.3422978660082205
179,-337.0636756664357,-35.97195264885499,-149.38896068978505,-58.81997669897533,-1.5341799080885714
180,-377.5363310373984,-27.18691905263114,-157.25876461154763,-56.77601115057355,-2.1414631574386087
181,-442.17761884047366,-29.797043206865855,-158.47436304264068,-61.04119129684852,-1.6351268570837583
182,-344.4884809737667,-27.365327870876683,-155.3984165992157,-55.73599926920066,-2.2254614454124435
183,-392.96679208480873,-35.571733401145046,-157.52191757813395,-59.50822266621356,-2.54936245487924
