LSOA11CD,LSOA11NM,population_2021
E01000001,City of London 001A,1224.90157958865
E01000002,City of London 001B,1630.78982855007
E01000003,City of London 001C,1145.36819040775
E01000005,City of London 001E,1470.74244387448
E01000006,Barking and Dagenham 016A,1845.75383645296
E01000007,Barking and Dagenham 015A,2801.09854507446
E01000008,Barking and Dagenham 015B,1616.80768504739
E01000009,Barking and Dagenham 016B,1890.3977894187
E01000010,Barking and Dagenham 015C,3505.68110117316
E01000011,Barking and Dagenham 016C,1550.3982346803
E01000012,Barking and Dagenham 015D,2457.15798398852
E01000013,Barking and Dagenham 013A,1914.66351532936
E01000014,Barking and Dagenham 013B,1608.94215412402
E01000015,Barking and Dagenham 009A,2316.24671792984
E01000016,Barking and Dagenham 009B,1677.48775519431
E01000017,Barking and Dagenham 009C,2007.15948778391
E01000018,Barking and Dagenham 009D,1885.20748537779
E01000019,Barking and Dagenham 023A,1644.67322400957
E01000020,Barking and Dagenham 023B,2208.08539360762
E01000021,Barking and Dagenham 008A,1856.04625871778
E01000022,Barking and Dagenham 008B,1580.9457410574
E01000023,Barking and Dagenham 008C,3943.32194621116
E01000024,Barking and Dagenham 008D,1628.80538022518
E01000025,Barking and Dagenham 008E,1793.20040678978
E01000027,Barking and Dagenham 001A,2292.21201021756
E01000028,Barking and Dagenham 001B,1416.39137303084
E01000029,Barking and Dagenham 001C,2161.09864225984
E01000030,Barking and Dagenham 001D,2330.49223200977
E01000031,Barking and Dagenham 002A,2153.39224982329
E01000032,Barking and Dagenham 002B,1952.19367280602
E01000033,Barking and Dagenham 006A,1241.11749452353
E01000034,Barking and Dagenham 003A,1916.02320311013
E01000035,Barking and Dagenham 010A,1934.73695425037
E01000036,Barking and Dagenham 010B,1670.38644650381
E01000037,Barking and Dagenham 003B,1765.70717294514
E01000038,Barking and Dagenham 003C,1448.16289331764
E01000039,Barking and Dagenham 003D,1638.24401053266
E01000040,Barking and Dagenham 019A,1961.31690222025
E01000041,Barking and Dagenham 017A,1841.98021119833
E01000042,Barking and Dagenham 017B,2043.92569544166
E01000043,Barking and Dagenham 019B,1402.48228387535
E01000044,Barking and Dagenham 016D,2122.34503288567
E01000045,Barking and Dagenham 017C,1568.46024303837
E01000046,Barking and Dagenham 017D,1857.87230473431
E01000048,Barking and Dagenham 021B,711.563846230507
E01000049,Barking and Dagenham 021C,1647.00101427734
E01000050,Barking and Dagenham 019C,1939.53660130501
E01000051,Barking and Dagenham 021D,1257.61394274235
E01000052,Barking and Dagenham 019D,2323.52142824233
E01000053,Barking and Dagenham 020A,963.482382535934
E01000054,Barking and Dagenham 018A,1947.1585098505
E01000055,Barking and Dagenham 018B,1560.34006980062
E01000056,Barking and Dagenham 018C,1769.82515435293
E01000057,Barking and Dagenham 012A,1688.39105415344
E01000058,Barking and Dagenham 018D,2064.40042731166
E01000059,Barking and Dagenham 013C,1780.61919443309
E01000060,Barking and Dagenham 006B,2709.07108073394
E01000061,Barking and Dagenham 006C,1833.27577022936
E01000062,Barking and Dagenham 006D,2299.77382811904
E01000063,Barking and Dagenham 004A,1806.15624696016
E01000064,Barking and Dagenham 006E,2099.62191623449
E01000065,Barking and Dagenham 007A,2087.76419943944
E01000066,Barking and Dagenham 011A,2355.26384620368
E01000067,Barking and Dagenham 011B,2005.54803946614
E01000068,Barking and Dagenham 016E,1793.10082974844
E01000069,Barking and Dagenham 011C,2114.25481286645
E01000070,Barking and Dagenham 011D,2401.94437785819
E01000071,Barking and Dagenham 011E,2552.92317159474
E01000072,Barking and Dagenham 017E,2257.26365668889
E01000073,Barking and Dagenham 012B,2613.48889847659
E01000074,Barking and Dagenham 012C,1859.743067801
E01000075,Barking and Dagenham 012D,2288.4686746213
E01000076,Barking and Dagenham 012E,2119.59859758615
E01000077,Barking and Dagenham 008F,1685.49650336802
E01000078,Barking and Dagenham 007B,1822.37087398767
E01000079,Barking and Dagenham 009E,1740.64323711165
E01000080,Barking and Dagenham 007C,1744.50855743883
E01000081,Barking and Dagenham 007D,1998.15083223581
E01000082,Barking and Dagenham 007E,1812.14419323206
E01000083,Barking and Dagenham 007F,1865.61404949427
E01000084,Barking and Dagenham 013D,1533.11254970729
E01000085,Barking and Dagenham 013E,1775.54551380873
E01000086,Barking and Dagenham 013F,1479.45728485286
E01000087,Barking and Dagenham 020B,1693.79255675524
E01000088,Barking and Dagenham 020C,1624.30337768188
E01000089,Barking and Dagenham 020D,1932.17933105305
E01000090,Barking and Dagenham 020E,1876.94970044606
E01000091,Barking and Dagenham 022A,1735.24961660802
E01000092,Barking and Dagenham 019E,7247.68456429932
E01000093,Barking and Dagenham 022B,1736.72071442381
E01000094,Barking and Dagenham 022C,2347.88529280387
