draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
1,-532.5031700639961,-40.53809034707979,-183.21576413448201,-69.99954359579014,-2.2431699103208733
2,-475.0163791883715,-45.269725802790134,-211.79919389462694,-86.58724929483877,-1.3040805736532102
3,-567.7892123670696,-20.746795131842386,-190.29946869707382,-69.0423977448,-2.1679859185791717
4,-516.3447324681523,-32.87313474518125,-196.40152488769525,-72.31153563612206,-2.4530155560985527
5,-357.6673082765335,-46.87040459407467,-199.66927306607172,-81.2343763478157,-1.4950237017055537
6,-485.47779325669376,-25.02254527166373,-198.18662028789626,-75.59606950064449,-1.299707318022276
7,-560.6715164175353,-36.71106366104946,-192.81211058372915,-74.58993129488088,-0.9030681587073138
8,-541.7565592202368,-28.765251631951973,-210.10115846747502,-78.73758738850802,-3.537064044929352
9,-469.49548497097265,-41.967105693493714,-201.1064669258883,-72.72752116230104,-1.214498777383794
10,-514.0418500056359,-21.794727735540953,-182.80370982361137,-70.65235358221082,-3.1689463098942623
11,-500.7774635358567,-40.95694960538706,-183.42854564879107,-77.92850679281527,-2.81850099342272
12,-539.2499308332226,-38.400750263053894,-204.45794824345126,-71.25665046160455,-1.0949542834510042
13,-474.945076596867,-53.48604939949318,-208.59315995154313,-71.74549814535406,-1.462914775227724
14,-510.0758206872521,-40.48719134320564,-209.8442502623271,-76.06276988249476,-2.586753855975548
15,-608.6090374367052,-45.936948158115754,-196.42817948075793,-75.69507765259455,-1.9291110876796016
16,-455.9753381408584,-37.85638560365879,-205.3678551656502,-72.55426412923477,-2.236218969081354
17,-572.897215568287,-34.38224228584252,-174.91708428090402,-78.22430687883099,-2.6340074771688187
18,-574.3763876209475,-45.80528721891921,-200.8460379430349,-70.8862461614799,-1.8274105002661023
19,-543.7848861326316,-58.850819526028076,-185.5178474633781,-71.39997113066373,-2.3496478951839928
20,-334.0741503597342,-24.35324000023622,-216.27957239399683,-77.54024570102646,-3.120543876022947
21,-464.3558758405677,-54.26640504543969,-195.08212193051563,-77.2548350844705,-1.788776796393625
22,-567.965079600523,-51.44389651124366,-204.53627663872422,-71.70054021711466,-3.3917643289829047
23,-582.5488707969764,-22.278340553574363,-204.1448213063854,-81.23070582644957,-2.6776159787476326
24,-435.6153424250633,-41.117621507637374,-232.08472976410667,-82.72311423476454,-2.8157108302346985
25,-316.14200092013186,-28.336867935827662,-181.75846487623676,-81.48225243665199,-1.3922950489014079
26,-489.01843388240945,-34.26297745027714,-206.2187698817926,-78.31074009657834,-1.2374067109990088
27,-529.5187044025663,-38.58315451998619,-202.95525607429823,-76.61291293517928,-2.4470052605850867
28,-504.346930915302,-59.72423422912219,-175.08522461086082,-79.42185839307682,-1.8763618974465093
29,-476.3508508546831,-37.68298580271665,-205.29091457088074,-69.93831566807097,-3.1234061926928023
30,-537.3708838779737,-47.42883373759115,-195.38021115016696,-79.27185117394953,-2.560130213561553
31,-549.4647017587175,-36.525678497126634,-184.4639669287808,-70.39542011767155,-0.7228845654455899
32,-393.6914167178632,-30.198182655215557,-185.9702330964458,-77.25236602322279,-1.9245239210168998
33,-536.8616591162877,-31.866955412798124,-203.12195820793656,-74.73517248025716,-3.536585989238157
34,-318.0344294550596,-36.884424509038354,-208.83707548024634,-76.54401349603839,-1.4060443604687574
35,-675.718281072706,-31.605253399363217,-188.144433428086,-73.55501093793754,-2.192432713995351
36,-579.2285009594817,-39.65240638930904,-206.63896538712783,-71.3169749012207,-2.8869351560589074
37,-583.6624029933133,-62.490936529919885,-219.5131703609519,-73.93591571087578,-1.2715563743882707
38,-558.1681212045355,-67.06285187763116,-220.3276260304548,-82.41460477407506,-0.42557030320654987
39,-476.3497586683945,-18.459737766028113,-207.0374490022177,-79.37387953423483,-1.2281409789312159
40,-528.0887158970719,-24.36111834056468,-184.56584791653552,-69.95859395454413,-2.0165222303537007
41,-495.0184137040325,-35.859608820437025,-181.2125091729046,-69.61745271974284,-1.6169130377882215
42,-560.1484761910735,-46.195836735383914,-193.0447881390672,-74.47535757041454,-3.305333848822949
43,-497.3653977644916,-33.05692244130495,-187.40169641225378,-73.12228376865424,-1.2567771367270386
44,-580.5544238990601,-40.49035274670875,-191.9682111385102,-73.30602455811416,-3.008229714669641
45,-488.472750139832,-49.37762552168164,-200.8079606884925,-73.73124706377313,-3.3668674506122445
46,-481.1327178401201,-44.60394957506543,-199.89431888099833,-81.79695411052177,-2.82581810385183
47,-506.7799233764545,-36.36255007404814,-202.00297475180832,-79.22285887525344,-2.3208138809551286
48,-486.5914762797793,-43.821980266427,-201.95901886226187,-78.31108744161085,-3.905378101991733
49,-420.1472262775947,-32.146983205060586,-183.14174999972502,-78.4761629347313,-1.0310494420428244
50,-466.84947695216493,-39.358700671400456,-208.03348403687426,-86.43286415824043,-1.8010310200852127
51,-456.99530430439256,-38.907693406065086,-192.80560831935125,-77.8031916670278,-2.7337829687679456
52,-377.8798937657077,-30.94379563142114,-194.50367225818545,-80.12718700690937,-3.3126818688746753
53,-510.6512169738717,-40.055217213831604,-197.5121408053826,-71.83097942788203,-5.1975308086362
54,-520.4445074853335,-40.80458578584025,-206.56122278499078,-74.54140581299016,-3.6154863815548777
55,-409.3924934799089,-45.49243053420144,-200.8315809518172,-79.51420721024526,-0.38264605867718826
56,-566.5957552646721,-38.007576209308596,-189.63497007040462,-73.90461594069788,-1.0775371411617154
57,-503.04625486749075,-20.977546531530162,-187.2796034638802,-74.75271599942505,-1.6183539748659639
58,-644.1726316964655,-10.692256023246124,-199.0272414032373,-70.59737311562428,-3.6637523571418584
59,-472.09452736381957,-53.36624053867526,-220.33312118589026,-73.1807117599275,-1.5764039668409815
60,-470.8150737663714,-32.86557016521048,-178.8922442380084,-86.12008788220575,-3.0817639292116357
61,-418.72261670264766,-40.601497777066825,-189.80351392582426,-84.81225950203859,-2.5919502649220183
62,-647.9082720197216,-37.34737461777498,-196.45651035567,-73.68943100824293,-3.9783477806593384
