draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
1,-517.0738707171972,-39.31874623168247,-177.90978760336483,-67.94723116073995,-2.1812200384534637
2,-461.2576676560362,-43.907434505259715,-205.6606629893959,-84.04553778106566,-1.2680924973425016
3,-551.3339019547005,-20.123953862068845,-184.78728310866757,-67.01828907896275,-2.108115983228753
4,-501.3851228743246,-31.8850804178223,-190.71164335261287,-70.19108076897122,-2.385259077021966
5,-347.3151298778544,-45.45972591485577,-193.88420856125094,-78.85072184535757,-1.453759994555893
6,-471.41515711676533,-24.271027744649896,-192.44474456437356,-73.37876902289263,-1.2638400531136342
7,-544.4232028375087,-35.60724262973067,-187.2267622478111,-72.40230200892162,-0.8781545812060175
8,-526.0582424398369,-27.901011873695303,-204.01212223168426,-76.42761538687103,-3.4392804113855084
9,-455.8971504524696,-40.704603353268624,-195.27953454786189,-70.59480334952424,-1.180985235228648
10,-499.14917246727265,-21.140359418174626,-177.50972591419782,-68.580802869258,-3.0813649480477867
11,-486.2702714066729,-39.7249565926773,-178.1163761206049,-75.64240582844309,-2.740626629249283
12,-523.6244905631036,-37.245934635986856,-198.5333690282026,-69.16728953715585,-1.0647423921606367
13,-461.1884364102872,-51.875227300186474,-202.54807537418662,-69.6417284654558,-1.4225383280050825
14,-495.29840923709185,-39.269384229098016,-203.7627020448153,-73.83170487181526,-2.515295720712467
15,-590.9662554332136,-44.55448900606667,-190.7375216182798,-73.47485717517714,-1.8758478930076887
16,-442.76970563292673,-36.71800066588146,-199.4167623922472,-70.42665389485694,-2.17446140272642
17,-556.2933430523283,-33.3486776883477,-169.85258511004002,-75.92947897828834,-2.5612412526201904
18,-557.7294928529222,-44.42680793183078,-195.02669253880694,-68.80780220559953,-1.7769593573592308
19,-528.0275971052293,-57.07751126322842,-180.1448651244072,-69.30638594338555,-2.284751927573797
20,-324.4062625231627,-23.621871884724577,-210.01042491339484,-75.26559897051493,-3.034303533739024
21,-450.9068325359347,-52.63195814010772,-189.4306672291253,-74.9886079506726,-1.739393768329479
22,-551.5046543881614,-49.89488274660694,-198.6094150822015,-69.59809571173703,-3.2980083383077625
23,-565.6642623245294,-21.60942058138867,-198.22936592193855,-78.84715966376618,-2.6036424837285015
24,-423.0009565012626,-39.88077618359634,-225.3545639073343,-80.2955131738955,-2.7379137293967006
25,-306.9940792719991,-27.48553431028199,-176.49490107165892,-79.09128144663694,-1.3538698643089593
26,-474.85292631008775,-33.23301001363552,-200.24288133849137,-76.01336210255137,-1.2032604123451192
27,-514.1761638486107,-37.42283295647346,-197.07446060871158,-74.36562120659725,-2.379415118257657
28,-489.73601024373306,-57.92445660706881,-170.01583391653952,-77.09169556063154,-1.824557290226654
29,-462.55337248215716,-36.54983427134129,-199.34206380100235,-67.8878075242031,-3.0370865509849385
30,-521.8000726438001,-46.00127065304468,-189.72007501416323,-76.94611478435458,-2.4894090392147774
31,-533.5422680697191,-35.42745136423244,-179.12166049480035,-68.33144143708155,-0.7029447024689311
32,-382.29401771917696,-29.290764484132556,-180.5840823755843,-74.98621172508341,-1.8713875726287397
33,-521.3056522217404,-30.909237147001434,-197.2363057377429,-72.54326027138748,-3.4388156086907715
34,-308.8316398149084,-35.77537222590616,-202.7848820572718,-74.298754057805,-1.367239291827052
35,-656.1219613138595,-30.655424419561236,-182.69498997194185,-71.39789715599204,-2.131886494471499
36,-562.4404752404154,-38.459805197986874,-200.65083187243326,-69.22583597247663,-2.80716565241653
37,-566.7454032698489,-60.60728334253251,-213.1497342464535,-71.76757115706265,-1.2364667606078341
38,-541.9926070606983,-65.04049969202971,-213.9404385911941,-79.9961114788512,-0.41383426317458616
39,-462.55231202449966,-17.90568029623637,-201.03770297010692,-77.04513248186082,-1.1942506184943833
40,-512.7877441604924,-23.629513063112338,-179.22057605022357,-67.90748824308088,-1.960841729634517
41,-480.6785696604865,-34.78147833662537,-175.96483381445512,-67.57639964439136,-1.5722807742726856
42,-543.9153729528568,-44.80555157116961,-187.45266423121888,-72.2911068114324,-3.2139732360516944
43,-482.9573558326486,-32.063326323190985,-181.9738754659642,-70.97792796730425,-1.2220957756625797
44,-563.7278302714296,-39.27245016788459,-186.40743644868172,-71.15625167273178,-2.9251007126391646
45,-474.3230974112638,-47.891125537326126,-194.9897245648599,-71.56893713116635,-3.2738014979471393
46,-467.196319425044,-43.26177985083041,-194.10269862665044,-79.3966937866801,-2.7477411175298494
47,-492.0982974536265,-35.26924508909367,-196.14992395722493,-76.89856813950847,-2.2567157588017492
48,-472.49648315503805,-42.50344050832661,-196.10724868618112,-76.01369919958151,-3.797380850995558
49,-407.98192928902006,-31.180822761495484,-177.83792763026761,-76.17390427862625,-1.0026022554394818
50,-453.3280027185008,-38.17496681853963,-202.00471069627181,-83.89571294973446,-1.75130920377354
51,-443.76004845767585,-37.73757504482766,-187.22044932819685,-75.52078774025934,-2.65825440809142
52,-366.9413151657054,-30.01390522266351,-188.8690637034559,-77.77620992027167,-3.2211176220293525
53,-495.857082930475,-38.85045385186822,-191.78991112410293,-69.72469008825509,-5.053654612542131
54,-505.36573541366215,-39.577194040990975,-200.5753547982996,-72.35520744349066,-3.515528534090288
55,-397.5393902585894,-44.12340791936136,-195.01265671424608,-77.18131928315454,-0.3720941107054971
56,-550.1751542345977,-36.86462802178487,-184.14213160496288,-71.73719426693845,-1.0478062345242884
57,-488.4731323043786,-20.34776365833021,-181.85533679655146,-72.56028645506714,-1.5736818854523247
58,-625.4948000271513,-10.371578644548602,-193.26087931580727,-68.52744274406454,-3.5624562303364047
59,-458.4206943600093,-51.75904527061706,-213.94577349225258,-71.03463338795993,-1.53289129176577
60,-457.17840737231467,-31.877743930079987,-173.71208820034875,-83.59217530681599,-2.996597935797496
61,-406.5986763771444,-39.38023892140961,-184.30576830923607,-82.32297244457821,-2.5203482858389736
62,-629.1216913764202,-36.224351723669294,-190.76502734209015,-71.52835399325937,-3.8683263268623835
63,-565.888126174558,-38.02013265047361,-187.7823915488917,-80.0126707533052,-2.9201944305860845
64,-361.9107924800966,-36.66692887514962,-189.37688008032407,-68.87225219481343,-2.1803011327826742
65,-501.9654678659738,-46.18908495409907,-206.55535103211258,-74.8673429825466,-3.819116092372752
66,-434.4648664398281,-18.00689375854028,-198.53841420292855,-78.90907383457755,-2.9254713662977574
67,-465.79450117580984,-38.52432467797228,-207.34406134474756,-70.64009685174705,-4.071291642143689
68,-476.78661837474164,-36.29520572101366,-201.28957259439906,-79.53842722224624,-2.8034004544957973
69,-437.84844690116654,-22.188711176114957,-190.45721113956313,-76.43633561414734,-2.3646475741696773
70,-399.47745241017276,-35.92554239578711,-186.85276763976142,-76.1292719641665,-2.7300004661555137
71,-467.75729448799325,-43.64584012154634,-182.38569785956602,-79.42824986734945,-2.94527723827357
72,-590.9068821487123,-23.49447713066653,-195.0708053485772,-74.17973096619305,-2.332611336039104
73,-608.7249167384016,-29.072971119904768,-191.0992010845965,-72.98293090430525,-4.385211349173218
74,-493.9384021694544,-44.288456694359006,-184.12094884121217,-74.18968555837188,-2.7177347658584776
75,-575.6483863685679,-36.551745352465474,-204.46747375115086,-80.08574378754666,-4.129697519219654
76,-521.8577631923299,-36.8315704875377,-196.66277309962865,-71.53684828297918,-2.0416029520554635
77,-492.8118493679618,-26.678570180666412,-194.8011305179704,-72.82041422177612,-3.222693201160901
78,-326.1919114403546,-43.97230395922815,-193.22571604819942,-74.27562110252461,-1.5673027911736532
79,-477.57777606558517,-41.141000644575215,-201.20807496366405,-72.24903794481486,-0.13095405481181932
80,-403.99521555853073,-41.72002833866329,-199.44905504620908,-67.51068977333313,-2.57430984144993
81,-541.4010173688818,-26.991878131186926,-189.2326936540392,-66.3404652122175,-2.147960249343112
82,-426.33315818445584,-38.004272355472374,-199.77272222696746,-67.57861312262122,-2.21090005986717
83,-563.6763896999157,-64.70674298124347,-194.96206999455603,-73.36210363594687,-3.094575382041419
84,-515.4887517320651,-19.96178910704535,-171.52909508929343,-77.60368091544383,-4.068744503950095
85,-550.1772427345516,-48.585698284265725,-193.16086880238376,-74.25374571007877,-3.205255330809549
86,-558.8065710988838,-24.005072006280205,-197.5612311406476,-73.3207901440933,-0.9164365408668586
